1,2,3,4,5,6,7,8,9,10,11,12,13,14
    0.1025E+04,  0.5000E+01,  0.258529128450E-09, -0.484537866643E-10, -0.135835466525E-07,  0.102778764489E-07, -0.958749051790E+01, -0.103146722772E+02, -0.786698682133E+01, -0.798809660730E+01, -0.957999377722E+01, -0.185271627742E+00, -0.776869059555E+01,  0.249385445506E+01
    0.1051E+04,  0.5000E+01,  0.168467146507E-09, -0.378635570031E-10, -0.116001098369E-07,  0.931386621108E-08, -0.977348478014E+01, -0.104217785897E+02, -0.793553789859E+01, -0.803087000478E+01, -0.976278384294E+01, -0.221079673183E+00, -0.782749884115E+01,  0.246507868388E+01
    0.1076E+04,  0.5000E+01,  0.113361763860E-09, -0.298752372563E-10, -0.986713033680E-08,  0.842147216446E-08, -0.994553340527E+01, -0.105246886371E+02, -0.800580913508E+01, -0.807461198249E+01, -0.993095260157E+01, -0.257680032626E+00, -0.788698187146E+01,  0.243507741109E+01
    0.1102E+04,  0.5000E+01,  0.784678205335E-10, -0.237784644613E-10, -0.838591732417E-08,  0.760374916977E-08, -0.101053084099E+02, -0.106238161942E+02, -0.807644942357E+01, -0.811897221795E+01, -0.100862309047E+02, -0.294238498967E+00, -0.794615660510E+01,  0.240507263096E+01
    0.1127E+04,  0.5000E+01,  0.557032041848E-10, -0.190770749109E-10, -0.713606770763E-08,  0.686028596273E-08, -0.102541198224E+02, -0.107194882149E+02, -0.814654103799E+01, -0.816365778088E+01, -0.102300367496E+02, -0.329957297124E+00, -0.800441580074E+01,  0.237589576881E+01
    0.1152E+04,  0.5000E+01,  0.404551513585E-10, -0.154177282669E-10, -0.608904895382E-08,  0.618842351383E-08, -0.103930261696E+02, -0.108119796129E+02, -0.821545053436E+01, -0.820841997238E+01, -0.103635774796E+02, -0.364113690537E+00, -0.806139180327E+01,  0.234810061010E+01
    0.1178E+04,  0.5000E+01,  0.299974290785E-10, -0.125448713458E-10, -0.521506554723E-08,  0.558411814464E-08, -0.105229159648E+02, -0.109015337882E+02, -0.828274022863E+01, -0.825304540181E+01, -0.104879174076E+02, -0.396095399130E+00, -0.811687061746E+01,  0.232203366471E+01
    0.1203E+04,  0.5000E+01,  0.226692046235E-10, -0.102713314368E-10, -0.448626818946E-08,  0.504254697901E-08, -0.106445637174E+02, -0.109883732567E+02, -0.834811476782E+01, -0.829735004698E+01, -0.106040168228E+02, -0.425425778399E+00, -0.817073730231E+01,  0.229788208461E+01
    0.1229E+04,  0.5000E+01,  0.174315122461E-10, -0.845855662035E-11, -0.387803975247E-08,  0.455852835305E-08, -0.107586649347E+02, -0.110727037392E+02, -0.841138774343E+01, -0.834117533964E+01, -0.107127500898E+02, -0.451774200436E+00, -0.822294100985E+01,  0.227570932292E+01
    0.1254E+04,  0.5000E+01,  0.136189859498E-10, -0.700302581087E-11, -0.336930590980E-08,  0.412680947701E-08, -0.108658552282E+02, -0.111547142730E+02, -0.847245955628E+01, -0.838438558079E+01, -0.108149108454E+02, -0.474951286233E+00, -0.827347254392E+01,  0.225548355487E+01
    0.1279E+04,  0.5000E+01,  0.107964577961E-10, -0.582672829424E-11, -0.294237867804E-08,  0.374225872873E-08, -0.109667187086E+02, -0.112345752330E+02, -0.853130143521E+01, -0.842686618996E+01, -0.109112111710E+02, -0.494892358225E+00, -0.832234999436E+01,  0.223710129115E+01
    0.1305E+04,  0.5000E+01,  0.867380575197E-11, -0.487039757221E-11, -0.258260074822E-08,  0.339998940136E-08, -0.110617903080E+02, -0.113124355857E+02, -0.858794272749E+01, -0.846852243676E+01, -0.110022796390E+02, -0.511634369074E+00, -0.836960958933E+01,  0.222040735844E+01
    0.1330E+04,  0.5000E+01,  0.705414425233E-11, -0.408864848864E-11, -0.227792839767E-08,  0.309543430865E-08, -0.111515556636E+02, -0.113884202252E+02, -0.864245993126E+01, -0.850927840816E+01, -0.110886610353E+02, -0.525291484391E+00, -0.841529988253E+01,  0.220521183659E+01
    0.1356E+04,  0.5000E+01,  0.580161625036E-11, -0.344645107577E-11, -0.201852082560E-08,  0.282438540182E-08, -0.112364510011E+02, -0.114626278822E+02, -0.869496676550E+01, -0.854907604188E+01, -0.111708188597E+02, -0.536033133851E+00, -0.845947802002E+01,  0.219130428285E+01
    0.1381E+04,  0.5000E+01,  0.482098377869E-11, -0.291655493301E-11, -0.179636649308E-08,  0.258300878877E-08, -0.113168643298E+02, -0.115351298393E+02, -0.874560505426E+01, -0.858787411612E+01, -0.112491406017E+02, -0.544066565132E+00, -0.850220725585E+01,  0.217846546825E+01
    0.1406E+04,  0.5000E+01,  0.404447014090E-11, -0.247759591780E-11, -0.160495754085E-08,  0.236784280949E-08, -0.113931383665E+02, -0.116059695232E+02, -0.879453645237E+01, -0.862564713186E+01, -0.113239452223E+02, -0.549624371069E+00, -0.854355518105E+01,  0.216647681673E+01
    0.1432E+04,  0.5000E+01,  0.342314252388E-11, -0.211269616664E-11, -0.143901348754E-08,  0.217578480345E-08, -0.114655750185E+02, -0.116751629557E+02, -0.884193513550E+01, -0.866238406086E+01, -0.113954920896E+02, -0.552956395851E+00, -0.858359233875E+01,  0.215512773534E+01
    0.1457E+04,  0.5000E+01,  0.292118500607E-11, -0.180842286389E-11, -0.129425074217E-08,  0.200407070150E-08, -0.115344409372E+02, -0.117427000108E+02, -0.888798157731E+01, -0.869808696108E+01, -0.114639906408E+02, -0.554324879660E+00, -0.862239104194E+01,  0.214422103600E+01
    0.1483E+04,  0.5000E+01,  0.251203938316E-11, -0.155400916517E-11, -0.116719257022E-08,  0.185025044686E-08, -0.115999735561E+02, -0.118085464242E+02, -0.893285748561E+01, -0.873276948223E+01, -0.115296101557E+02, -0.554001560648E+00, -0.866002430577E+01,  0.213357666574E+01
    0.1508E+04,  0.5000E+01,  0.217576976681E-11, -0.134076755071E-11, -0.105501369691E-08,  0.171216140113E-08, -0.116623870622E+02, -0.118726465094E+02, -0.897674190202E+01, -0.876645529789E+01, -0.115924891558E+02, -0.552265577793E+00, -0.869656486538E+01,  0.212303397685E+01
    0.1533E+04,  0.5000E+01,  0.189723940281E-11, -0.116164506106E-11, -0.955413986154E-09,  0.158790125294E-08, -0.117218778643E+02, -0.119349265497E+02, -0.901980840544E+01, -0.879917650861E+01, -0.116527440549E+02, -0.549401288608E+00, -0.873208428213E+01,  0.211245277659E+01
    0.1559E+04,  0.5000E+01,  0.166483323759E-11, -0.101088364259E-11, -0.866516200919E-09,  0.147580146824E-08, -0.117786292622E+02, -0.119952988308E+02, -0.906222331304E+01, -0.883097206192E+01, -0.117104767819E+02, -0.545695445425E+00, -0.876665215415E+01,  0.210171339539E+01
    0.1584E+04,  0.5000E+01,  0.146955159188E-11, -0.883758767871E-12, -0.786783521607E-09,  0.137440196526E-08, -0.118328151625E+02, -0.120536662645E+02, -0.910414474452E+01, -0.886188623252E+01, -0.117657811787E+02, -0.541433504222E+00, -0.880033544845E+01,  0.209071600218E+01
    0.1610E+04,  0.5000E+01,  0.130435916896E-11, -0.776376686341E-12, -0.714953165147E-09,  0.128242743468E-08, -0.118846028046E+02, -0.121099275144E+02, -0.914572240685E+01, -0.889196719979E+01, -0.118187480563E+02, -0.536895129333E+00, -0.883319796674E+01,  0.207937937649E+01
    0.1635E+04,  0.5000E+01,  0.116371180403E-11, -0.685515875557E-12, -0.649983058518E-09,  0.119876553484E-08, -0.119341545604E+02, -0.121639824831E+02, -0.918709796288E+01, -0.892126575175E+01, -0.118694688717E+02, -0.532349177247E+00, -0.886529994869E+01,  0.206763932164E+01
    0.1660E+04,  0.5000E+01,  0.104320838885E-11, -0.608502051556E-12, -0.591009056666E-09,  0.112244705523E-08, -0.119816289293E+02, -0.122157379532E+02, -0.922840586391E+01, -0.894983413510E+01, -0.119180380753E+02, -0.528048575089E+00, -0.889669780876E+01,  0.205544687381E+01
    0.1686E+04,  0.5000E+01,  0.939331980556E-12, -0.543108854651E-12, -0.537310652622E-09,  0.105262804717E-08, -0.120271808914E+02, -0.122651131166E+02, -0.926977454910E+01, -0.897772506243E+01, -0.119645542520E+02, -0.524225549648E+00, -0.892744399583E+01,  0.204276643146E+01
    0.1711E+04,  0.5000E+01,  0.849255186871E-12, -0.487478338374E-12, -0.488283511442E-09,  0.988573855922E-09, -0.120709617920E+02, -0.123120446779E+02, -0.931132794090E+01, -0.900499087919E+01, -0.120091202470E+02, -0.521087619628E+00, -0.895758696024E+01,  0.202957390008E+01
    0.1737E+04,  0.5000E+01,  0.770692403910E-12, -0.440056860472E-12, -0.443417477504E-09,  0.929644948251E-09, -0.121131189215E+02, -0.123564912040E+02, -0.935318719297E+01, -0.903168288635E+01, -0.120518425084E+02, -0.518814658253E+00, -0.898717121058E+01,  0.201585492071E+01
    0.1762E+04,  0.5000E+01,  0.701786584846E-12, -0.399543054395E-12, -0.402278965584E-09,  0.875284404811E-09, -0.121537949379E+02, -0.123984364147E+02, -0.939547267528E+01, -0.905785080941E+01, -0.120928298924E+02, -0.517557193796E+00, -0.901623744156E+01,  0.200160322770E+01
    0.1788E+04,  0.5000E+01,  0.641021729696E-12, -0.364845355205E-12, -0.364496858866E-09,  0.825006935324E-09, -0.121931272483E+02, -0.124378911783E+02, -0.943830620996E+01, -0.908354240059E+01, -0.121321921713E+02, -0.517435971289E+00, -0.904482271525E+01,  0.198681916249E+01
    0.1813E+04,  0.5000E+01,  0.587154728533E-12, -0.335047142896E-12, -0.329751209751E-09,  0.778389270963E-09, -0.122312474373E+02, -0.124748940811E+02, -0.948181360249E+01, -0.910880315886E+01, -0.121700384488E+02, -0.518542673967E+00, -0.907296067937E+01,  0.197150835575E+01
    0.1838E+04,  0.5000E+01,  0.539161905558E-12, -0.309378005001E-12, -0.297764178896E-09,  0.735061791060E-09, -0.122682808004E+02, -0.125095105654E+02, -0.952612754917E+01, -0.913367615154E+01, -0.122064756470E+02, -0.520941613023E+00, -0.910068180876E+01,  0.195568057914E+01
    0.1864E+04,  0.5000E+01,  0.496196828550E-12, -0.287189949543E-12, -0.268292760538E-09,  0.694701247716E-09, -0.123043460159E+02, -0.125418307627E+02, -0.957139104593E+01, -0.915820192111E+01, -0.122416071773E+02, -0.524672144587E+00, -0.912801365823E+01,  0.193934876066E+01
    0.1889E+04,  0.5000E+01,  0.457556821085E-12, -0.267937648208E-12, -0.241122932688E-09,  0.657024460748E-09, -0.123395549660E+02, -0.125719662589E+02, -0.961776148284E+01, -0.918241846154E+01, -0.122755318614E+02, -0.529751560533E+00, -0.915498111763E+01,  0.192252815239E+01
    0.1915E+04,  0.5000E+01,  0.422656247411E-12, -0.251161979313E-12, -0.216064943545E-09,  0.621782865593E-09, -0.123740127072E+02, -0.126000461031E+02, -0.966541569152E+01, -0.920636124994E+01, -0.123083431293E+02, -0.536178216615E+00, -0.918160666190E+01,  0.190523563671E+01
    0.1940E+04,  0.5000E+01,  0.391005102977E-12, -0.236476285950E-12, -0.192949503800E-09,  0.588757807477E-09, -0.124078175746E+02, -0.126262124042E+02, -0.971455633395E+01, -0.923006332068E+01, -0.123401284877E+02, -0.543934697355E+00, -0.920791059109E+01,  0.188748915578E+01
    0.1965E+04,  0.5000E+01,  0.362191786213E-12, -0.223554877956E-12, -0.171624701191E-09,  0.557756485904E-09, -0.124410614028E+02, -0.126506158494E+02, -0.976542020589E+01, -0.925355537080E+01, -0.123709692354E+02, -0.552990862023E+00, -0.923391125660E+01,  0.186930724879E+01
    0.1991E+04,  0.5000E+01,  0.335869183075E-12, -0.212123394960E-12, -0.151953491059E-09,  0.528608463863E-09, -0.124738298420E+02, -0.126734114308E+02, -0.981828931776E+01, -0.927686588740E+01, -0.124009403869E+02, -0.563306662219E+00, -0.925962527154E+01,  0.185070868211E+01
    0.2016E+04,  0.1100E+03,  0.311743388750E-12, -0.201950717900E-12, -0.133811646488E-09,  0.501162665947E-09, -0.125062027480E+02, -0.126947545986E+02, -0.987350608548E+01, -0.930002128919E+01, -0.124301107639E+02, -0.574834663584E+00, -0.928506770404E+01,  0.183171215846E+01
    0.2042E+04,  0.1100E+03,  0.289564537735E-12, -0.192842172253E-12, -0.117086075452E-09,  0.475284798646E-09, -0.125382546262E+02, -0.127147979851E+02, -0.993149475065E+01, -0.932304607582E+01, -0.124585432122E+02, -0.587522239028E+00, -0.931025225306E+01,  0.181233609260E+01
    0.2067E+04,  0.1100E+03,  0.269119325937E-12, -0.184633811129E-12, -0.101673431387E-09,  0.450855134350E-09, -0.125700551137E+02, -0.127336887657E+02, -0.999279251915E+01, -0.934596298020E+01, -0.124862949081E+02, -0.601313427710E+00, -0.933519140697E+01,  0.179259844215E+01
    0.2092E+04,  0.1100E+03,  0.250224895431E-12, -0.177187602758E-12, -0.874789587540E-10,  0.427766608119E-09, -0.126016694836E+02, -0.127515666676E+02, -0.100580963949E+02, -0.936879311990E+01, -0.125134177207E+02, -0.616150472919E+00, -0.935989658560E+01,  0.177251658400E+01
    0.2118E+04,  0.1000E+02,  0.232723820047E-12, -0.170387376519E-12, -0.744155271913E-10,  0.405923182919E-09, -0.126331591630E+02, -0.127685625839E+02, -0.101283364372E+02, -0.939155614473E+01, -0.125399586053E+02, -0.631975064216E+00, -0.938437826659E+01,  0.175210722772E+01
    0.2143E+04,  0.1000E+02,  0.216479982879E-12, -0.164135405967E-12, -0.624028174388E-10,  0.385238445050E-09, -0.126645822551E+02, -0.127847977263E+02, -0.102047958018E+02, -0.941427037876E+01, -0.125659600073E+02, -0.648729315973E+00, -0.940864609727E+01,  0.173138635866E+01
    0.2169E+04,  0.1000E+02,  0.201375178371E-12, -0.158349527323E-12, -0.513666298193E-10,  0.365634396666E-09, -0.126959940619E+02, -0.128003832287E+02, -0.102893189275E+02, -0.943695295523E+01, -0.125914602618E+02, -0.666356517069E+00, -0.943270899313E+01,  0.171036920498E+01
    0.2194E+04,  0.1000E+02,  0.187306304568E-12, -0.152960708442E-12, -0.412382920935E-10,  0.347040416953E-09, -0.127274476044E+02, -0.128154201136E+02, -0.103846993296E+02, -0.945961994354E+01, -0.126164939785E+02, -0.684801686423E+00, -0.945657522420E+01,  0.168907022312E+01
    0.2219E+04,  0.1000E+02,  0.174183037166E-12, -0.147910997065E-12, -0.319541482828E-10,  0.329392367513E-09, -0.127589941411E+02, -0.128299995354E+02, -0.104954727538E+02, -0.948228646827E+01, -0.126410924052E+02, -0.704011967025E+00, -0.948025249060E+01,  0.166750309782E+01
    0.2245E+04,  0.1000E+02,  0.161925897841E-12, -0.143151788551E-12, -0.234551138412E-10,  0.312631821021E-09, -0.127906836862E+02, -0.128442032215E+02, -0.106297624548E+02, -0.950496681969E+01, -0.126652837655E+02, -0.723936888087E+00, -0.950374798827E+01,  0.164568075303E+01
    0.2270E+04,  0.1000E+02,  0.150464645942E-12, -0.138642362910E-12, -0.156862855474E-10,  0.296705395232E-09, -0.128225655325E+02, -0.128581040485E+02, -0.108044798835E+02, -0.952767455649E+01, -0.126890935693E+02, -0.744528521449E+00, -0.952706846605E+01,  0.162361537093E+01
    0.2296E+04,  0.1000E+02,  0.139736935997E-12, -0.134348648899E-12, -0.859659684950E-11,  0.281564177031E-09, -0.128546887837E+02, -0.128717666968E+02, -0.110656734397E+02, -0.955042260062E+01, -0.127125448955E+02, -0.765741554668E+00, -0.955022027527E+01,  0.160131841682E+01
    0.2321E+04,  0.1000E+02,  0.129687194162E-12, -0.130242179682E-12, -0.213851126402E-11,  0.267163223479E-09, -0.128871029058E+02, -0.128852483442E+02, -0.116698884579E+02, -0.957322332516E+01, -0.127356586473E+02, -0.787533299833E+00, -0.957320941250E+01,  0.157880066798E+01
    0.2346E+04,  0.1000E+02,  0.120265675462E-12, -0.126299210161E-12,  0.373225210156E-11,  0.253461128705E-09, -0.129198583052E+02, -0.128985993654E+02, -0.114280290287E+02, -0.959608863548E+01, -0.127584537823E+02, -0.809863653787E+00, -0.959604155656E+01,  0.155607224503E+01
    0.2372E+04,  0.1000E+02,  0.111427670585E-12, -0.122499970787E-12,  0.905696567128E-11,  0.240419647187E-09, -0.129530069484E+02, -0.129118640149E+02, -0.110430172784E+02, -0.961903004450E+01, -0.127809475178E+02, -0.832695022745E+00, -0.961872210042E+01,  0.153314264478E+01
    0.2397E+04,  0.1000E+02,  0.103132836705E-12, -0.118828036650E-12,  0.138741170238E-10,  0.228003365340E-09, -0.129866030367E+02, -0.129250810785E+02, -0.108577946467E+02, -0.964205874275E+01, -0.128031555150E+02, -0.855992221663E+00, -0.964125617871E+01,  0.151002077347E+01
    0.2423E+04,  0.1000E+02,  0.953446313724E-13, -0.115269793967E-12,  0.182196121508E-10,  0.216179414544E-09, -0.130207037560E+02, -0.129382844831E+02, -0.107394608723E+02, -0.966518566365E+01, -0.128250920422E+02, -0.879722356711E+00, -0.966364869142E+01,  0.148671497995E+01
    0.2448E+04,  0.1000E+02,  0.880298322630E-13, -0.111813988892E-12,  0.221269609154E-10,  0.204917219779E-09, -0.130553701257E+02, -0.129515038591E+02, -0.106550782313E+02, -0.968842154506E+01, -0.128467701207E+02, -0.903854697358E+00, -0.968590432438E+01,  0.146323308815E+01
    0.2473E+04,  0.1000E+02,  0.811581285859E-13, -0.108451345929E-12,  0.256274468300E-10,  0.194188278891E-09, -0.130906679759E+02, -0.129647650538E+02, -0.105912946589E+02, -0.971177698744E+01, -0.128682016546E+02, -0.928360543150E+00, -0.970802756687E+01,  0.143958242850E+01
    0.2499E+04,  0.1000E+02,  0.747017724686E-13, -0.105174245231E-12,  0.287502829117E-10,  0.183965968260E-09, -0.131266690934E+02, -0.129780905960E+02, -0.105413578774E+02, -0.973526250940E+01, -0.128893975456E+02, -0.953213089044E+00, -0.973002272689E+01,  0.141576986809E+01
    0.2524E+04,  0.1000E+02,  0.686352806403E-13, -0.101976449711E-12,  0.315227550972E-10,  0.174225371260E-09, -0.131634525862E+02, -0.129915001120E+02, -0.105013758321E+02, -0.975888860136E+01, -0.129103677959E+02, -0.978387292169E+00, -0.975189394438E+01,  0.139180183933E+01
    0.2550E+04,  0.1000E+02,  0.629351783942E-13, -0.988528743403E-13,  0.339703544708E-10,  0.164943126454E-09, -0.132011065324E+02, -0.130050106982E+02, -0.104688999214E+02, -0.978266577776E+01, -0.129311215997E+02, -0.100385974219E+01, -0.977364520266E+01,  0.136768436711E+01
    0.2575E+04,  0.1000E+02,  0.575797791874E-13, -0.957993911542E-13,  0.361168993800E-10,  0.156097292888E-09, -0.132397300049E+02, -0.130186372510E+02, -0.104422895407E+02, -0.980660462861E+01, -0.129516674241E+02, -0.102960853668E+01, -0.979528033845E+01,  0.134342309427E+01
    0.2600E+04,  0.1000E+02,  0.525489943406E-13, -0.928126645207E-13,  0.379846483671E-10,  0.147667230254E-09, -0.132794355909E+02, -0.130323927592E+02, -0.104203918896E+02, -0.983071587096E+01, -0.129720130823E+02, -0.105561316263E+01, -0.981680305064E+01,  0.131902330554E+01
    0.2626E+04,  0.1000E+02,  0.478241682237E-13, -0.898900120505E-13,  0.395944047317E-10,  0.139633492007E-09, -0.133203525747E+02, -0.130462885614E+02, -0.104023661819E+02, -0.985501040084E+01, -0.129921657986E+02, -0.108185438459E+01, -0.983821690789E+01,  0.129448994978E+01
    0.2651E+04,  0.1000E+02,  0.433879350813E-13, -0.870292872474E-13,  0.409656134348E-10,  0.131977729798E-09, -0.133626310183E+02, -0.130603345732E+02, -0.103875805375E+02, -0.987949934638E+01, -0.130121322664E+02, -0.110831413990E+01, -0.985952535553E+01,  0.126982766077E+01
    0.2677E+04,  0.1000E+02,  0.392240942647E-13, -0.842287805930E-13,  0.421164509840E-10,  0.124682607802E-09, -0.134064470760E+02, -0.130745394867E+02, -0.103755482325E+02, -0.990419412280E+01, -0.130319187007E+02, -0.113497544111E+01, -0.988073172147E+01,  0.124504077644E+01
    0.2702E+04,  0.1000E+02,  0.353175011721E-13, -0.814871362706E-13,  0.430639088664E-10,  0.117731725750E-09, -0.134520100318E+02, -0.130889109445E+02, -0.103658865523E+02, -0.992910648990E+01, -0.130515308847E+02, -0.116182228546E+01, -0.990183922169E+01,  0.122013335669E+01
    0.2727E+04,  0.1000E+02,  0.316539716182E-13, -0.788032821574E-13,  0.438238710417E-10,  0.111109549608E-09, -0.134995717914E+02, -0.131034556938E+02, -0.103582892631E+02, -0.995424861285E+01, -0.130709742126E+02, -0.118883957140E+01, -0.992285096503E+01,  0.119510919991E+01
    0.2753E+04,  0.1000E+02,  0.282201977171E-13, -0.761763710767E-13,  0.444111859599E-10,  0.104801348999E-09, -0.135494399478E+02, -0.131181797203E+02, -0.103525076292E+02, -0.997963312710E+01, -0.130902537272E+02, -0.121601302177E+01, -0.994376995757E+01,  0.116997185816E+01
    0.2778E+04,  0.1000E+02,  0.250036736597E-13, -0.736057316064E-13,  0.448397335260E-10,  0.987931406039E-10, -0.136019961780E+02, -0.131330883663E+02, -0.103483369770E+02, -0.100052732083E+02, -0.131093741549E+02, -0.124332911346E+01, -0.996459910664E+01,  0.114472465124E+01
    0.2804E+04,  0.1000E+02,  0.219926300160E-13, -0.710908269978E-13,  0.451224873968E-10,  0.930716368458E-10, -0.136577228319E+02, -0.131481864336E+02, -0.103456069677E+02, -0.100311826481E+02, -0.131283399361E+02, -0.127077501306E+01, -0.998534122450E+01,  0.111937067963E+01
    0.2829E+04,  0.1000E+02,  0.191759753980E-13, -0.686312209781E-13,  0.452715729629E-10,  0.876241992752E-10, -0.137172425362E+02, -0.131634782748E+02, -0.103441744157E+02, -0.100573759377E+02, -0.131471552542E+02, -0.129833851830E+01, -0.100059990316E+02,  0.109391283638E+01
    0.2854E+04,  0.1000E+02,  0.165432444997E-13, -0.662265493926E-13,  0.452983213411E-10,  0.824387961462E-10, -0.137813793116E+02, -0.131789678724E+02, -0.103439178917E+02, -0.100838683588E+02, -0.131658240607E+02, -0.132600800476E+01, -0.100265751600E+02,  0.106835381811E+01
    0.2880E+04,  0.1000E+02,  0.140845516657E-13, -0.638764968006E-13,  0.452133196745E-10,  0.775039637259E-10, -0.138512569728E+02, -0.131946589100E+02, -0.103447336048E+02, -0.101106760861E+02, -0.131843500986E+02, -0.135377237761E+01, -0.100470721557E+02,  0.104269613512E+01
    0.2905E+04,  0.1000E+02,  0.117905492766E-13, -0.615807772715E-13,  0.450264580155E-10,  0.728087709474E-10, -0.139284659623E+02, -0.132105548337E+02, -0.103465322153E+02, -0.101378163000E+02, -0.132027369233E+02, -0.138162102792E+01, -0.100674924821E+02,  0.101694212065E+01
    0.2931E+04,  0.1000E+02,  0.965239033161E-14, -0.593391187386E-13,  0.447469730454E-10,  0.683427870562E-10, -0.140153651240E+02, -0.132266589078E+02, -0.103492363376E+02, -0.101653073144E+02, -0.132209879221E+02, -0.140954379318E+01, -0.100878385219E+02,  0.991093939480E+00
    0.2956E+04,  0.1000E+02,  0.766169470237E-14, -0.571512503651E-13,  0.443834888633E-10,  0.640960519468E-10, -0.141156751575E+02, -0.132429742636E+02, -0.103527785621E+02, -0.101931687204E+02, -0.132391063314E+02, -0.143753092181E+01, -0.101081125798E+02,  0.965153595782E+00
    0.2981E+04,  0.1000E+02,  0.581051860614E-14, -0.550168924566E-13,  0.439440550604E-10,  0.600590489158E-10, -0.142357851038E+02, -0.132595039437E+02, -0.103570998698E+02, -0.102214215495E+02, -0.132570952528E+02, -0.146557304116E+01, -0.101283168848E+02,  0.939122940389E+00
    0.3007E+04,  0.1000E+02,  0.409132690494E-14, -0.529357485240E-13,  0.434361822790E-10,  0.562226795950E-10, -0.143881358181E+02, -0.132762509415E+02, -0.103621483530E+02, -0.102500884596E+02, -0.132749576672E+02, -0.149366112888E+01, -0.101484535922E+02,  0.913003677482E+00
    0.3032E+04,  0.1000E+02,  0.249696789787E-14, -0.509074991586E-13,  0.428668754391E-10,  0.525782408500E-10, -0.146025870411E+02, -0.132932182372E+02, -0.103678781710E+02, -0.102791939485E+02, -0.132926964484E+02, -0.152178648719E+01, -0.101685247856E+02,  0.886797370753E+00
    0.3058E+04,  0.1000E+02,  0.102065031241E-14, -0.489317974310E-13,  0.422426648032E-10,  0.491174034544E-10, -0.149911230272E+02, -0.133104088308E+02, -0.103742486929E+02, -0.103087645998E+02, -0.133103143744E+02, -0.154994071997E+01, -0.101885324788E+02,  0.860505449091E+00
    0.3083E+04,  0.1000E+02, -0.344077756048E-15, -0.470082655695E-13,  0.415696350342E-10,  0.458321923730E-10, -0.154633434028E+02, -0.133278257724E+02, -0.103812237884E+02, -0.103388293679E+02, -0.133278141390E+02, -0.157811571217E+01, -0.102084786178E+02,  0.834129211833E+00
    0.3108E+04,  0.1000E+02, -0.160334817697E-14, -0.451364927066E-13,  0.408534523928E-10,  0.427149685012E-10, -0.147949721577E+02, -0.133454721904E+02, -0.103887712368E+02, -0.103694199096E+02, -0.133451983608E+02, -0.160630361165E+01, -0.102283650821E+02,  0.807669833614E+00
    0.3134E+04,  0.1000E+02, -0.276299057719E-14, -0.433160335162E-13,  0.400993902058E-10,  0.397584117268E-10, -0.145586205962E+02, -0.133633513189E+02, -0.103968622317E+02, -0.104005709732E+02, -0.133624695927E+02, -0.163449681285E+01, -0.102481936868E+02,  0.781128368855E+00
    0.3159E+04,  0.1000E+02, -0.382854876301E-14, -0.415464075885E-13,  0.393123527298E-10,  0.369555051921E-10, -0.144169658171E+02, -0.133814665226E+02, -0.104054709641E+02, -0.104323208564E+02, -0.133796303300E+02, -0.166268794238E+01, -0.102679661835E+02,  0.754505755916E+00
    0.3185E+04,  0.1000E+02, -0.480529591384E-14, -0.398270994137E-13,  0.384968975224E-10,  0.342995206494E-10, -0.143182798630E+02, -0.133998213219E+02, -0.104145742690E+02, -0.104647119494E+02, -0.133966830169E+02, -0.169086984621E+01, -0.102876842622E+02,  0.727802820945E+00
    0.3210E+04,  0.1000E+02, -0.569824867625E-14, -0.381575588619E-13,  0.376572564266E-10,  0.317840048107E-10, -0.142442586017E+02, -0.134184194172E+02, -0.104241513243E+02, -0.104977913822E+02, -0.134136300539E+02, -0.171903557829E+01, -0.103073495523E+02,  0.701020281462E+00
    0.3235E+04,  0.1000E+02, -0.651218026866E-14, -0.365372020677E-13,  0.367973552647E-10,  0.294027666044E-10, -0.141862735859E+02, -0.134372647130E+02, -0.104341833942E+02, -0.105316118034E+02, -0.134304738031E+02, -0.174717839055E+01, -0.103269636240E+02,  0.674158749674E+00
