   z,   ex_real,   ex_imag,   hy_real,   hy_imag,   rho
   1.0670241328105003e+03,  -2.0998264400385001e-12,  -2.8396380498997002e-12,  -2.0581288275716001e-09,  -3.9631387816077002e-10,   5.0000000000000000e+00
   1.0907357802062893e+03,  -2.1343952797101998e-12,  -2.4078488724183998e-12,  -1.7560129460266000e-09,  -2.2367900325388000e-10,   5.0000000000000000e+00
   1.1144474276020783e+03,  -2.0770686576025998e-12,  -1.9888843082424000e-12,  -1.4932740751831000e-09,  -1.0244422418724000e-10,   5.0000000000000000e+00
   1.1381590749978670e+03,  -1.9597347522120002e-12,  -1.6123283337366999e-12,  -1.2675999231332000e-09,  -2.0108429598843001e-11,   5.0000000000000000e+00
   1.1618707223936558e+03,  -1.8082665827016999e-12,  -1.2899849005973001e-12,  -1.0756832673160000e-09,   3.3447053897010001e-11,   5.0000000000000000e+00
   1.1855823697894448e+03,  -1.6419939878795000e-12,  -1.0231213153232001e-12,  -9.1374250494913003e-10,   6.6200951236887003e-11,   5.0000000000000000e+00
   1.2092940171852338e+03,  -1.4743221677136000e-12,  -8.0736467916014997e-13,  -7.7789287966148998e-10,   8.4298002082778994e-11,   5.0000000000000000e+00
   1.2330056645810225e+03,  -1.3138209852302000e-12,  -6.3583066771731005e-13,  -6.6439308064953002e-10,   9.2366643846918997e-11,   5.0000000000000000e+00
   1.2567173119768115e+03,  -1.1653967027888000e-12,  -5.0099781635477004e-13,  -5.6979440678176000e-10,   9.3817928435447001e-11,   5.0000000000000000e+00
   1.2804289593726005e+03,  -1.0313497496798000e-12,  -3.9573637301870999e-13,  -4.9101786759071999e-10,   9.1109939504134006e-11,   5.0000000000000000e+00
   1.3041406067683893e+03,  -9.1223999020777003e-13,  -3.1379593569781999e-13,  -4.2538080199232001e-10,   8.5971657679682000e-11,   5.0000000000000000e+00
   1.3278522541641780e+03,  -8.0754717330745004e-13,  -2.4996631331734001e-13,  -3.7059023617528998e-10,   7.9586174716137995e-11,   5.0000000000000000e+00
   1.3515639015599670e+03,  -7.1614711671805000e-13,  -2.0005577903368001e-13,  -3.2471603922754000e-10,   7.2736501231110995e-11,   5.0000000000000000e+00
   1.3752755489557560e+03,  -6.3663703039556999e-13,  -1.6077915835683999e-13,  -2.8615332919970998e-10,   6.5918812015354995e-11,   5.0000000000000000e+00
   1.3989871963515448e+03,  -5.6754517073801004e-13,  -1.2961192403781001e-13,  -2.5358065309403002e-10,   5.9428465534374994e-11,   5.0000000000000000e+00
   1.4226988437473337e+03,  -5.0745638595065000e-13,  -1.0464212244524000e-13,  -2.2591819866437000e-10,   5.3423970595827998e-11,   5.0000000000000000e+00
   1.4464104911431227e+03,  -4.5507940170406999e-13,  -8.4436316592932997e-14,  -2.0228861621939000e-10,   4.7973559052455997e-11,   5.0000000000000000e+00
   1.4701221385389115e+03,  -4.0927572939222001e-13,  -6.7926174265995000e-14,  -1.8198183310444000e-10,   4.3088357696991998e-11,   5.0000000000000000e+00
   1.4938337859347005e+03,  -3.6906474144893001e-13,  -5.4316853443105002e-14,  -1.6442442912873001e-10,   3.8745457796064000e-11,   5.0000000000000000e+00
   1.5175454333304892e+03,  -3.3361508432235002e-13,  -4.3015487577086999e-14,  -1.4915361493790001e-10,   3.4903527131264003e-11,   5.0000000000000000e+00
   1.5412570807262782e+03,  -3.0222922665120999e-13,  -3.3576837123769003e-14,  -1.3579553901289999e-10,   3.1513032257456000e-11,   5.0000000000000000e+00
   1.5649687281220672e+03,  -2.7432546102495002e-13,  -2.5662871265002002e-14,  -1.2404748001863999e-10,   2.8522651099363999e-11,   5.0000000000000000e+00
   1.5886803755178560e+03,  -2.4941993158005998e-13,  -1.9013236424812998e-14,  -1.1366341147331000e-10,   2.5883057847456999e-11,   5.0000000000000000e+00
   1.6123920229136450e+03,  -2.2711008026047000e-13,  -1.3423985109422000e-14,  -1.0444241938123000e-10,   2.3548945938026001e-11,   5.0000000000000000e+00
