   z,   ex_real,   ex_imag,   hy_real,   hy_imag,   rho
   1.5090000000000000e+03,   1.0686621319906000e-13,  -5.1611873914970004e-12,  -2.0177393636823001e-09,  -4.2325897829871998e-09,   2.0000000000000000e+00
   1.5425333333333333e+03,  -1.4375656815092999e-13,  -4.7767744827777000e-12,  -1.9646265437593001e-09,  -3.5817176246181999e-09,   2.0000000000000000e+00
   1.5760666666666668e+03,  -3.6037900963991000e-13,  -4.3314869575716002e-12,  -1.8809195718548000e-09,  -3.0245652806285999e-09,   2.0000000000000000e+00
   1.6095999999999999e+03,  -5.3110515290713997e-13,  -3.8692827486901997e-12,  -1.7770943221659000e-09,  -2.5502438445709002e-09,   2.0000000000000000e+00
   1.6431333333333332e+03,  -6.5465822811480004e-13,  -3.4183421156991999e-12,  -1.6614002457084000e-09,  -2.1483339289331001e-09,   2.0000000000000000e+00
   1.6766666666666667e+03,  -7.3533546003756004e-13,  -2.9954905082116999e-12,  -1.5401632557810999e-09,  -1.8091518959827000e-09,   2.0000000000000000e+00
   1.7102000000000000e+03,  -7.7987410231341004e-13,  -2.6096415990436002e-12,  -1.4180989594424999e-09,  -1.5238907223974001e-09,   2.0000000000000000e+00
   1.7437333333333333e+03,  -7.9561109178030000e-13,  -2.2643848704657999e-12,  -1.2986085840228000e-09,  -1.2846736880444000e-09,   2.0000000000000000e+00
   1.7772666666666664e+03,  -7.8948322607446998e-13,  -1.9598744637569001e-12,  -1.1840437444228000e-09,  -1.0845496455883001e-09,   2.0000000000000000e+00
   1.8108000000000000e+03,  -7.6755184807735998e-13,  -1.6941718715116999e-12,  -1.0759347403868000e-09,  -9.1745101024090004e-10,   2.0000000000000000e+00
   1.8443333333333333e+03,  -7.3483997004325004e-13,  -1.4641753109649001e-12,  -9.7518209927118004e-10,  -7.7812966886008996e-10,   2.0000000000000000e+00
   1.8778666666666666e+03,  -6.9534423356650998e-13,  -1.2662443299915999e-12,  -8.8221382755791002e-10,  -6.6208148950677999e-10,   2.0000000000000000e+00
   1.9114000000000001e+03,  -6.5213537083272995e-13,  -1.0966047508951000e-12,  -7.9711215188422005e-10,  -5.6546674237295998e-10,   2.0000000000000000e+00
   1.9449333333333332e+03,  -6.0749504850173999e-13,  -9.5159870389813000e-13,  -7.1971398201998998e-10,  -4.8503127077126000e-10,   2.0000000000000000e+00
   1.9784666666666665e+03,  -5.6305918469714995e-13,  -8.2782786604575998e-13,  -6.4968928035627998e-10,  -4.1803146597323001e-10,   2.0000000000000000e+00
   2.0120000000000000e+03,  -5.1995184593736995e-13,  -7.2222494523310995e-13,  -5.8660120745640001e-10,  -3.6216483234955998e-10,   9.0000000000000000e+01
   2.0455333333333333e+03,  -4.7890239698176999e-13,  -6.3207845589866996e-13,  -5.2995147471668999e-10,  -3.1550704655085001e-10,   9.0000000000000000e+01
   2.0790666666666666e+03,  -4.4034359963660001e-13,  -5.5502836056991003e-13,  -4.7921385913660002e-10,  -2.7645581422720999e-10,   9.0000000000000000e+01
   2.1125999999999999e+03,  -4.0449113001013999e-13,  -4.8904466514294997e-13,  -4.3385837064682998e-10,  -2.4368143263183000e-10,   5.0000000000000000e+00
   2.1461333333333332e+03,  -3.7140636670308998e-13,  -4.3239709324521000e-13,  -3.9336813524549999e-10,  -2.1608371937736000e-10,   5.0000000000000000e+00
   2.1796666666666665e+03,  -3.4104485480411000e-13,  -3.8362114798727998e-13,  -3.5725067897101003e-10,  -1.9275482352596001e-10,   5.0000000000000000e+00
   2.2131999999999998e+03,  -3.1329292994351002e-13,  -3.4148389911303999e-13,  -3.2504497164571001e-10,  -1.7294736334854001e-10,   5.0000000000000000e+00
   2.2467333333333331e+03,  -2.8799481636468998e-13,  -3.0495147996057999e-13,  -2.9632531369529000e-10,  -1.5604731229217001e-10,   5.0000000000000000e+00
   2.2802666666666664e+03,  -2.6497222856725002e-13,  -2.7315936799684999e-13,  -2.7070292000466001e-10,  -1.4155106415505000e-10,   5.0000000000000000e+00
   2.3138000000000002e+03,  -2.4403818673869001e-13,  -2.4538592579433002e-13,  -2.4782586641449001e-10,  -1.2904613815570999e-10,   5.0000000000000000e+00
   2.3473333333333330e+03,  -2.2500644555453001e-13,  -2.2102930142932000e-13,  -2.2737791152102999e-10,  -1.1819502599079999e-10,   5.0000000000000000e+00
   2.3808666666666663e+03,  -2.0769765574159000e-13,  -1.9958755977010000e-13,  -2.0907658353674999e-10,  -1.0872173018874000e-10,   5.0000000000000000e+00
   2.4144000000000001e+03,  -1.9194313676331999e-13,  -1.8064178989017001e-13,  -1.9267082417113000e-10,  -1.0040059206233000e-10,   5.0000000000000000e+00
   2.4479333333333329e+03,  -1.7758693835988999e-13,  -1.6384187419159999e-13,  -1.7793840442372000e-10,  -9.3047055690899005e-11,   5.0000000000000000e+00
