   z,   ex_real,   ex_imag,   hy_real,   hy_imag,   rho
   8.7122155620714523e+02,  -1.9094530865659999e-12,  -1.8133828439540000e-13,  -8.2146322167891003e-10,   5.1795764725532003e-10,   2.0000000000000000e+00
   8.9058203523397071e+02,  -1.6600826391492001e-12,   5.7725749895112996e-14,  -6.4346210347622003e-10,   4.6613244653647998e-10,   2.0000000000000000e+00
   9.0994251426079620e+02,  -1.3916746185785001e-12,   2.1672971719073000e-13,  -5.0563643581350997e-10,   4.1063645469738002e-10,   2.0000000000000000e+00
   9.2930299328762158e+02,  -1.1352998399394000e-12,   3.0775308442582000e-13,  -3.9996928571283999e-10,   3.5636346065137000e-10,   2.0000000000000000e+00
   9.4866347231444706e+02,  -9.0752444578274001e-13,   3.4707527229874999e-13,  -3.1948896671442001e-10,   3.0616996099594998e-10,   2.0000000000000000e+00
   9.6802395134127255e+02,  -7.1492715492347002e-13,   3.5055323068161999e-13,  -2.5837936045536999e-10,   2.6146225662710000e-10,   2.0000000000000000e+00
   9.8738443036809792e+02,  -5.5784244690760000e-13,   3.3149727854714998e-13,  -2.1194646240706999e-10,   2.2267787656621000e-10,   2.0000000000000000e+00
   1.0067449093949234e+03,  -4.3315059333902999e-13,   3.0004357251939999e-13,  -1.7650378821661999e-10,   1.8965450396418000e-10,   2.0000000000000000e+00
   1.0261053884217488e+03,  -3.3618314362437001e-13,   2.6332193278021000e-13,  -1.4922153788309999e-10,   1.6189652905621001e-10,   2.0000000000000000e+00
   1.0454658674485743e+03,  -2.6191518291596998e-13,   2.2597104608605000e-13,  -1.2796894678539000e-10,   1.3875681158012001e-10,   2.0000000000000000e+00
   1.0648263464753998e+03,  -2.0563514738566000e-13,   1.9074075351399999e-13,  -1.1116717429214000e-10,   1.1955288008133000e-10,   2.0000000000000000e+00
   1.0841868255022250e+03,  -1.6326161111164000e-13,   1.5904778712189001e-13,  -9.7661418822786997e-11,   1.0363527839581000e-10,   2.0000000000000000e+00
   1.1035473045290507e+03,  -1.3144013464137000e-13,   1.3142986981937000e-13,  -8.6615212942465998e-11,   9.0422842674190000e-11,   2.0000000000000000e+00
   1.1229077835558760e+03,  -1.0751599476242000e-13,   1.0788744964638000e-13,  -7.7426383996736996e-11,   7.9416417355354001e-11,   2.0000000000000000e+00
   1.1422682625827015e+03,  -8.9446785827796004e-14,   8.8124314779952003e-14,  -6.9662322201828998e-11,   7.0199471566929997e-11,   2.0000000000000000e+00
   1.1616287416095270e+03,  -7.5694469519208003e-14,   7.1706789008098997e-14,  -6.3011436857779005e-11,   6.2431517941410999e-11,   2.0000000000000000e+00
   1.1809892206363525e+03,  -6.5119162027256006e-14,   5.8162232158813999e-14,  -5.7247585351081997e-11,   5.5838232729414997e-11,   2.0000000000000000e+00
   1.2003496996631777e+03,  -5.6885542717788001e-14,   4.7035052706943003e-14,  -5.2204530359871002e-11,   5.0200695081437003e-11,   2.0000000000000000e+00
   1.2197101786900034e+03,  -5.0385779186021003e-14,   3.7914673143248000e-14,  -4.7757918439292997e-11,   4.5345123282543002e-11,   2.0000000000000000e+00
   1.2390706577168287e+03,  -4.5178952713360002e-14,   3.0446098190914002e-14,  -4.3812753777290999e-11,   4.1133792234695001e-11,   2.0000000000000000e+00
   1.2584311367436542e+03,  -4.0945063004379002e-14,   2.4330481543635999e-14,  -4.0294794222139999e-11,   3.7457380396012000e-11,   2.0000000000000000e+00
   1.2777916157704797e+03,  -3.7451002204412001e-14,   1.9320544558418999e-14,  -3.7144688807404003e-11,   3.4228740022124998e-11,   2.0000000000000000e+00
   1.2971520947973049e+03,  -3.4525873297679001e-14,   1.5213846864111001e-14,  -3.4313995790536002e-11,   3.1377952191088001e-11,   2.0000000000000000e+00
   1.3165125738241304e+03,  -3.2043338087794003e-14,   1.1845633960385000e-14,  -3.1762469605847998e-11,   2.8848473211579000e-11,   2.0000000000000000e+00
   1.3358730528509561e+03,  -2.9909105900169998e-14,   9.0821572112711000e-15,  -2.9456192607633003e-11,   2.6594170052111999e-11,   2.0000000000000000e+00
   1.3552335318777814e+03,  -2.8052101449143000e-14,   6.8148526959232002e-15,  -2.7366264003589001e-11,   2.4577058084381000e-11,   2.0000000000000000e+00
   1.3745940109046069e+03,  -2.6418224696046999e-14,   4.9554747287970999e-15,  -2.5467854979703000e-11,   2.2765581077262002e-11,   2.0000000000000000e+00
   1.3939544899314324e+03,  -2.4965918324498999e-14,   3.4321298315408000e-15,  -2.3739505554396000e-11,   2.1133302839763999e-11,   2.0000000000000000e+00
   1.4133149689582576e+03,  -2.3662990218281001e-14,   2.1860922557460999e-15,  -2.2162583360194000e-11,   1.9657907722020001e-11,   2.0000000000000000e+00
   1.4326754479850831e+03,  -2.2484308489530001e-14,   1.1692656216546000e-15,  -2.0720853782744999e-11,   1.8320431255292001e-11,   2.0000000000000000e+00
   1.4520359270119088e+03,  -2.1410107500534999e-14,   3.4216316487132002e-16,  -1.9400129554011000e-11,   1.7104661896165001e-11,   2.0000000000000000e+00
   1.4713964060387341e+03,  -2.0424726977070001e-14,  -3.2770271913626001e-16,  -1.8187979537286999e-11,   1.5996670286885000e-11,   2.0000000000000000e+00
   1.4907568850655596e+03,  -1.9515663014041001e-14,  -8.6711034898661995e-16,  -1.7073483544945001e-11,   1.4984434187903001e-11,   2.0000000000000000e+00
   1.5101173640923851e+03,  -1.8672847649302001e-14,  -1.2981676775107001e-15,  -1.6047024290670001e-11,   1.4057535947860000e-11,   2.0000000000000000e+00
   1.5294778431192103e+03,  -1.7888098787386999e-14,  -1.6391538607805001e-15,  -1.5100110114858000e-11,   1.3206915709456000e-11,   2.0000000000000000e+00
   1.5488383221460358e+03,  -1.7154698909669000e-14,  -1.9052044004851000e-15,  -1.4225223647657001e-11,   1.2424668088060999e-11,   2.0000000000000000e+00
   1.5681988011728615e+03,  -1.6467072173918001e-14,  -2.1088711258391000e-15,  -1.3415692527685000e-11,   1.1703873280901000e-11,   2.0000000000000000e+00
   1.5875592801996868e+03,  -1.5820537150394000e-14,  -2.2605810896936998e-15,  -1.2665578934359001e-11,   1.1038455841138001e-11,   2.0000000000000000e+00
