   z,   ex_real,   ex_imag,   hy_real,   hy_imag,   rho
   1.0670241328105003e+03,  -1.7839021548006000e-12,  -1.3576123837748001e-12,  -1.8115875140743999e-09,  -2.4467999226458000e-10,   1.0000000000000000e+00
   1.0907357802062893e+03,  -1.7003645945213999e-12,  -1.0455203573263001e-12,  -1.5240697417874000e-09,  -1.0412458236333000e-10,   1.0000000000000000e+00
   1.1144474276020783e+03,  -1.5580462052898001e-12,  -7.6118786987339002e-13,  -1.2773050409612000e-09,  -1.0624785404451000e-11,   1.0000000000000000e+00
   1.1381590749978670e+03,  -1.3841798608284000e-12,  -5.2325052508272999e-13,  -1.0683516631877000e-09,   4.8128253246454999e-11,   1.0000000000000000e+00
   1.1618707223936558e+03,  -1.1997840773913001e-12,  -3.3637031014692000e-13,  -8.9336337230896004e-10,   8.1962321454339998e-11,   1.0000000000000000e+00
   1.1855823697894448e+03,  -1.0195887816293001e-12,  -1.9739889177828000e-13,  -7.4811779425669002e-10,   9.8501796808357005e-11,   1.0000000000000000e+00
   1.2092940171852338e+03,  -8.5287529813593002e-13,  -9.9457258305037998e-14,  -6.2838693718799998e-10,   1.0350354330758000e-10,   1.0000000000000000e+00
   1.2330056645810225e+03,  -7.0464770723222005e-13,  -3.4464938575585998e-14,  -5.3017721795663998e-10,   1.0119871059609999e-10,   1.0000000000000000e+00
   1.2567173119768115e+03,  -5.7680841012565998e-13,   5.4170344632613998e-15,  -4.4986843897853999e-10,   9.4610010416038001e-11,   1.0000000000000000e+00
   1.2804289593726005e+03,  -4.6917937432332998e-13,   2.7063364288865002e-14,  -3.8427888353334000e-10,   8.5829218138531999e-11,   1.0000000000000000e+00
   1.3041406067683893e+03,  -3.8031276515250998e-13,   3.6112024911705997e-14,  -3.3067945494033003e-10,   7.6249564349568997e-11,   1.0000000000000000e+00
   1.3278522541641780e+03,  -3.0809103483166998e-13,   3.6953504722755999e-14,  -2.8677501986156001e-10,   6.6753732304929003e-11,   1.0000000000000000e+00
   1.3515639015599670e+03,  -2.5014353788415002e-13,   3.2856398011438000e-14,  -2.5066661312995002e-10,   5.7861520592423000e-11,   1.0000000000000000e+00
   1.3752755489557560e+03,  -2.0411625404248999e-13,   2.6150296420330001e-14,  -2.2080428702798001e-10,   4.9842767253408998e-11,   1.0000000000000000e+00
   1.3989871963515448e+03,  -1.6783117323292999e-13,   1.8419255228103000e-14,  -1.9593725808050001e-10,   4.2801527125572001e-11,   1.0000000000000000e+00
   1.4226988437473337e+03,  -1.3936732282963000e-13,   1.0680670313434001e-14,  -1.7506559780913999e-10,   3.6737219002375001e-11,   1.0000000000000000e+00
   1.4464104911431227e+03,  -1.1708923429977000e-13,   3.5381122931501001e-15,  -1.5739594242429001e-10,   3.1587833067843997e-11,   1.0000000000000000e+00
   1.4701221385389115e+03,  -9.9642450206653997e-14,  -2.6951050798843000e-15,  -1.4230244771482000e-10,   2.7259519545602999e-11,   1.0000000000000000e+00
   1.4938337859347005e+03,  -8.5930224902297996e-14,  -7.9002851525541002e-15,  -1.2929337652805999e-10,   2.3646094020431000e-11,   1.0000000000000000e+00
   1.5175454333304892e+03,  -7.5081146395112006e-14,  -1.2082093778763999e-14,  -1.1798317577283001e-10,   2.0641265561703001e-11,   1.0000000000000000e+00
   1.5412570807262782e+03,  -6.6414011137097003e-14,  -1.5317373189282000e-14,  -1.0806959272252000e-10,   1.8145755973915001e-11,   1.0000000000000000e+00
   1.5649687281220672e+03,  -5.9403798938572003e-14,  -1.7719748026417999e-14,  -9.9315228578446004e-11,   1.6070944270228999e-11,   1.0000000000000000e+00
   1.5886803755178560e+03,  -5.3650856282329999e-14,  -1.9416200842397001e-14,  -9.1532878626011994e-11,   1.4340237931202000e-11,   1.0000000000000000e+00
   1.6123920229136450e+03,  -4.8854234474781000e-14,  -2.0532414096097000e-14,  -8.4574024277152003e-11,   1.2889032226642000e-11,   1.0000000000000000e+00
   1.6361036703094339e+03,  -4.4789394186572003e-14,  -2.1184318269789000e-14,  -7.8319895260766004e-11,   1.1663857984333000e-11,   1.0000000000000000e+00
   1.6598153177052225e+03,  -4.1290056222175002e-14,  -2.1473875496541998e-14,  -7.2674591233291997e-11,   1.0621122993383999e-11,   1.0000000000000000e+00
   1.6835269651010115e+03,  -3.8233753219812000e-14,  -2.1487631589232000e-14,  -6.7559828670659004e-11,   9.7257097079697996e-12,   1.0000000000000000e+00
   1.7072386124968007e+03,  -3.5530546256156001e-14,  -2.1296978094737000e-14,  -6.2910953357412005e-11,   8.9495904881692993e-12,   1.0000000000000000e+00
   1.7309502598925892e+03,  -3.3114362151550998e-14,  -2.0959385072573001e-14,  -5.8673926751614995e-11,   8.2705514524274998e-12,   1.0000000000000000e+00
   1.7546619072883782e+03,  -3.0936445748565002e-14,  -2.0520106276248001e-14,  -5.4803053901099003e-11,   7.6710690785323005e-12,   1.0000000000000000e+00
   1.7783735546841672e+03,  -2.8960482714062003e-14,  -2.0014035004045999e-14,  -5.1259270828045001e-11,   7.1373535874768003e-12,   1.0000000000000000e+00
   1.8020852020799559e+03,  -2.7159017378644000e-14,  -1.9467514524546001e-14,  -4.8008850701728998e-11,   6.6585549325193001e-12,   1.0000000000000000e+00
   1.8257968494757449e+03,  -2.5510857791467999e-14,  -1.8899993639943999e-14,  -4.5022421504016998e-11,   6.2261171599503003e-12,   1.0000000000000000e+00
   1.8495084968715339e+03,  -2.3999221688405001e-14,  -1.8325475656403999e-14,  -4.2274214310351002e-11,   5.8332622548872999e-12,   1.0000000000000000e+00
   1.8732201442673227e+03,  -2.2610430288356999e-14,  -1.7753745826469001e-14,  -3.9741481868675002e-11,   5.4745833538032999e-12,   1.0000000000000000e+00
   1.8969317916631117e+03,  -2.1333001241202001e-14,  -1.7191384440414001e-14,  -3.7404042919485001e-11,   5.1457280074052001e-12,   1.0000000000000000e+00
   1.9206434390589006e+03,  -2.0157028092032001e-14,  -1.6642584851782001e-14,  -3.5243919615469001e-11,   4.8431540697327000e-12,   1.0000000000000000e+00
   1.9443550864546894e+03,  -1.9073762221395999e-14,  -1.6109801249851000e-14,  -3.3245044291892997e-11,   4.5639431539226002e-12,   1.0000000000000000e+00
   1.9680667338504784e+03,  -1.8075335475196999e-14,  -1.5594252377559000e-14,  -3.1393018396294003e-11,   4.3056590465671002e-12,   1.0000000000000000e+00
   1.9917783812462674e+03,  -1.7154578725547999e-14,  -1.5096306328150999e-14,  -2.9674911167650999e-11,   4.0662407866689003e-12,   1.0000000000000000e+00
   2.0154900286420559e+03,  -1.6304904431930999e-14,  -1.4615769175300001e-14,  -2.8079089106042001e-11,   3.8439221762922004e-12,   8.0000000000000000e+01
   2.0392016760378449e+03,  -1.5520230796454000e-14,  -1.4152097238615000e-14,  -2.6595069741636002e-11,   3.6371712525655001e-12,   8.0000000000000000e+01
   2.0629133234336341e+03,  -1.4794932078373001e-14,  -1.3704549718088999e-14,  -2.5213394962859000e-11,   3.4446447123815000e-12,   8.0000000000000000e+01
   2.0866249708294226e+03,  -1.4123804662838000e-14,  -1.3272295513835000e-14,  -2.3925520398849001e-11,   3.2651534637901001e-12,   8.0000000000000000e+01
   2.1103366182252116e+03,  -1.3502042053344000e-14,  -1.2854485420702000e-14,  -2.2723718219957000e-11,   3.0976364156164002e-12,   1.0000000000000000e+00
   2.1340482656210006e+03,  -1.2925214456020000e-14,  -1.2450298608860000e-14,  -2.1600991331124999e-11,   2.9411403471209001e-12,   1.0000000000000000e+00
   2.1577599130167896e+03,  -1.2389250337742000e-14,  -1.2058970378647000e-14,  -2.0550997365069000e-11,   2.7948042596799000e-12,   1.0000000000000000e+00
   2.1814715604125786e+03,  -1.1890418489253000e-14,  -1.1679806590458999e-14,  -1.9567981191120999e-11,   2.6578470363047001e-12,   1.0000000000000000e+00
   2.2051832078083676e+03,  -1.1425309873141000e-14,  -1.1312188882809000e-14,  -1.8646714880222000e-11,   2.5295575516301999e-12,   1.0000000000000000e+00
   2.2288948552041561e+03,  -1.0990819005701000e-14,  -1.0955573763368999e-14,  -1.7782444233960001e-11,   2.4092866092521002e-12,   1.0000000000000000e+00
   2.2526065025999451e+03,  -1.0584124899087000e-14,  -1.0609487848039000e-14,  -1.6970841113835001e-11,   2.2964402547906000e-12,   1.0000000000000000e+00
   2.2763181499957341e+03,  -1.0202671739341000e-14,  -1.0273520893501000e-14,  -1.6207960908422001e-11,   2.1904741376110001e-12,   1.0000000000000000e+00
   2.3000297973915226e+03,  -9.8441495411496004e-15,  -9.9473177857804995e-15,  -1.5490204558855999e-11,   2.0908886839285001e-12,   1.0000000000000000e+00
   2.3237414447873116e+03,  -9.5064750332722005e-15,  -9.6305702815861995e-15,  -1.4814284632368001e-11,   1.9972249084311000e-12,   1.0000000000000000e+00
   2.3474530921831006e+03,  -9.1877730107654002e-15,  -9.3230090262036994e-15,  -1.4177194992921001e-11,   1.9090607375761002e-12,   1.0000000000000000e+00
   2.3711647395788896e+03,  -8.8863583557589006e-15,  -9.0243961713595998e-15,  -1.3576183669581001e-11,   1.8260077505469002e-12,   1.0000000000000000e+00
   2.3948763869746786e+03,  -8.6007188874413005e-15,  -8.7345187719313997e-15,  -1.3008728568543000e-11,   1.7477082673177001e-12,   1.0000000000000000e+00
   2.4185880343704675e+03,  -8.3294991596166999e-15,  -8.4531830389314004e-15,  -1.2472515714802999e-11,   1.6738327300676000e-12,   1.0000000000000000e+00
   2.4422996817662561e+03,  -8.0714852846430994e-15,  -8.1802094567994002e-15,  -1.1965419744976000e-11,   1.6040773363066000e-12,   1.0000000000000000e+00
   2.4660113291620451e+03,  -7.8255908274211002e-15,  -7.9154287279455005e-15,  -1.1485486404292000e-11,   1.5381618908806999e-12,   1.0000000000000000e+00
   2.4897229765578340e+03,  -7.5908437833958003e-15,  -7.6586784798424995e-15,  -1.1030916828809000e-11,   1.4758278505050000e-12,   1.0000000000000000e+00
   2.5134346239536230e+03,  -7.3663746303189007e-15,  -7.4098006551629997e-15,  -1.0600053418672001e-11,   1.4168365392988000e-12,   1.0000000000000000e+00
   2.5371462713494120e+03,  -7.1514054245519996e-15,  -7.1686394994663006e-15,  -1.0191367130275999e-11,   1.3609675174346000e-12,   1.0000000000000000e+00
   2.5608579187452010e+03,  -6.9452398985452001e-15,  -6.9350400610467001e-15,  -9.8034460346352994e-12,   1.3080170878133000e-12,   1.0000000000000000e+00
   2.5845695661409895e+03,  -6.7472545060741999e-15,  -6.7088471216249997e-15,  -9.4349850064803998e-12,   1.2577969278370001e-12,   1.0000000000000000e+00
   2.6082812135367785e+03,  -6.5568903553114003e-15,  -6.4899044829531000e-15,  -9.0847764238337993e-12,   1.2101328350621001e-12,   1.0000000000000000e+00
