   z,   ex_real,   ex_imag,   hy_real,   hy_imag,   rho
   1.0670241328105003e+03,  -2.1110969348789001e-12,  -2.1774124501603998e-12,  -1.9544562080390002e-09,  -3.0845864393256002e-10,   2.0000000000000000e+00
   1.0907357802062893e+03,  -2.0869545450872002e-12,  -1.7630385477943999e-12,  -1.6567797399890000e-09,  -1.5033440140483999e-10,   2.0000000000000000e+00
   1.1144474276020783e+03,  -1.9806861751863999e-12,  -1.3744971030661000e-12,  -1.3992237901016001e-09,  -4.1963662376173002e-11,   2.0000000000000000e+00
   1.1381590749978670e+03,  -1.8236935120076000e-12,  -1.0363240157207001e-12,  -1.1792335616194999e-09,   2.9114770456575003e-11,   2.0000000000000000e+00
   1.1618707223936558e+03,  -1.6410319854014000e-12,  -7.5673415902770998e-13,  -9.9328752418660996e-10,   7.2938484290982998e-11,   2.0000000000000000e+00
   1.1855823697894448e+03,  -1.4510796272678999e-12,  -5.3447142994498997e-13,  -8.3742229331102000e-10,   9.7376627771392000e-11,   2.0000000000000000e+00
   1.2092940171852338e+03,  -1.2662671414792999e-12,  -3.6341044485029998e-13,  -7.0760493082983003e-10,   1.0844690891366000e-10,   2.0000000000000000e+00
   1.2330056645810225e+03,  -1.0942269355748001e-12,  -2.3547031183298999e-13,  -5.9997829227888999e-10,   1.1064239285383000e-10,   2.0000000000000000e+00
   1.2567173119768115e+03,  -9.3899459066852002e-13,  -1.4233431026590000e-13,  -5.1100742032492002e-10,   1.0723757700728000e-10,   2.0000000000000000e+00
   1.2804289593726005e+03,  -8.0207964447510999e-13,  -7.6368043253358002e-14,  -4.3755301152087999e-10,   1.0055813264029000e-10,   2.0000000000000000e+00
   1.3041406067683893e+03,  -6.8333481387485004e-13,  -3.1027497545882000e-14,  -3.7689403871557998e-10,   9.2208476258230003e-11,   2.0000000000000000e+00
   1.3278522541641780e+03,  -5.8161555224178997e-13,  -9.6212188126961996e-16,  -3.2671711134972000e-10,   8.3257331765216005e-11,   2.0000000000000000e+00
   1.3515639015599670e+03,  -4.9525273212696998e-13,   1.8049447325428999e-14,  -2.8508587326105999e-10,   7.4384796613592997e-11,   2.0000000000000000e+00
