   z,   ex_real,   ex_imag,   hy_real,   hy_imag,   rho
   1.5090000000000000e+03,   5.4086248969934996e-13,  -5.7135648936858001e-12,  -1.9633184268814001e-09,  -4.4588219644681002e-09,   5.0000000000000000e+00
   1.5425333333333333e+03,   2.7797756115536001e-13,  -5.3356621809014001e-12,  -1.9247004173762000e-09,  -3.7944722317832999e-09,   5.0000000000000000e+00
   1.5760666666666668e+03,   4.1396603394207999e-14,  -4.8865745886448996e-12,  -1.8538151404530999e-09,  -3.2237724885189001e-09,   5.0000000000000000e+00
   1.6095999999999999e+03,  -1.5371595534963999e-13,  -4.4136232030214001e-12,  -1.7611852545391000e-09,  -2.7360054332270000e-09,   5.0000000000000000e+00
   1.6431333333333332e+03,  -3.0392051971252999e-13,  -3.9473794435231000e-12,  -1.6551377291895001e-09,  -2.3209002408986998e-09,   5.0000000000000000e+00
   1.6766666666666667e+03,  -4.1209443834156000e-13,  -3.5063440270037001e-12,  -1.5420977993835999e-09,  -1.9688975955508000e-09,   5.0000000000000000e+00
   1.7102000000000000e+03,  -4.8404914867673999e-13,  -3.1005912732254998e-12,  -1.4268945746069999e-09,  -1.6712907139142999e-09,   5.0000000000000000e+00
   1.7437333333333333e+03,  -5.2652308877020997e-13,  -2.7345084612051002e-12,  -1.3130506463618999e-09,  -1.4202801786867000e-09,   5.0000000000000000e+00
   1.7772666666666664e+03,  -5.4607198138544996e-13,  -2.4087955552010001e-12,  -1.2030417666006000e-09,  -1.2089710190525000e-09,   5.0000000000000000e+00
   1.8108000000000000e+03,  -5.4852176597985996e-13,  -2.1218868547171002e-12,  -1.0985211724826001e-09,  -1.0313329162577999e-09,   5.0000000000000000e+00
   1.8443333333333333e+03,  -5.3875896548614001e-13,  -1.8709354060874999e-12,  -1.0005081386299001e-09,  -8.8213852740651000e-10,   5.0000000000000000e+00
   1.8778666666666666e+03,  -5.2071198497976005e-13,  -1.6524752831521999e-12,  -9.0954307928558004e-10,  -7.5689045255651997e-10,   5.0000000000000000e+00
   1.9114000000000001e+03,  -4.9743115788511998e-13,  -1.4628519317284001e-12,  -8.2581284326926004e-10,  -6.5174404298827999e-10,   5.0000000000000000e+00
   1.9449333333333332e+03,  -4.7121166801051005e-13,  -1.2984891283592000e-12,  -7.4925030524176999e-10,  -5.6343081189073995e-10,   5.0000000000000000e+00
   1.9784666666666665e+03,  -4.4372707878706998e-13,  -1.1560434163883999e-12,  -6.7961232133249996e-10,  -4.8918545236739995e-10,   5.0000000000000000e+00
   2.0120000000000000e+03,  -4.1615611809080001e-13,  -1.0324829931449999e-12,  -6.1653981621304003e-10,  -4.2667822255872001e-10,   1.0000000000000000e+02
   2.0455333333333333e+03,  -3.8929450020904998e-13,  -9.2511742297200005e-13,  -5.5960334461062998e-10,  -3.7395359172741999e-10,   1.0000000000000000e+02
   2.0790666666666666e+03,  -3.6364893791646001e-13,  -8.3159664070573997e-13,  -5.0833700816493997e-10,  -3.2937545311129000e-10,   1.0000000000000000e+02
   2.1125999999999999e+03,  -3.3951347999624998e-13,  -7.4989191598003996e-13,  -4.6226315695905998e-10,  -2.9157882267201000e-10,   5.0000000000000000e+00
   2.1461333333333332e+03,  -3.1702981503956000e-13,  -6.7826727500974001e-13,  -4.2090988956661999e-10,  -2.5942770031600000e-10,   5.0000000000000000e+00
   2.1796666666666665e+03,  -2.9623380519632000e-13,  -6.1524691828292999e-13,  -3.8382299754397999e-10,  -2.3197862930699000e-10,   5.0000000000000000e+00
   2.2131999999999998e+03,  -2.7709063305596999e-13,  -5.5958211043884003e-13,  -3.5057368309134002e-10,  -2.0844941924513001e-10,   5.0000000000000000e+00
   2.2467333333333331e+03,  -2.5952079762638998e-13,  -5.1021960706273999e-13,  -3.2076311049939999e-10,  -1.8819247542309000e-10,   5.0000000000000000e+00
   2.2802666666666664e+03,  -2.4341892490932999e-13,  -4.6627273723835996e-13,  -2.9402462890812002e-10,  -1.7067218616713001e-10,   5.0000000000000000e+00
   2.3138000000000002e+03,  -2.2866704850581999e-13,  -4.2699564335058002e-13,  -2.7002432065696000e-10,  -1.5544584819579000e-10,   5.0000000000000000e+00
   2.3473333333333330e+03,  -2.1514371207859000e-13,  -3.9176079060573002e-13,  -2.4846038066415001e-10,  -1.4214764980528000e-10,   5.0000000000000000e+00
   2.3808666666666663e+03,  -2.0272997130989001e-13,  -3.6003962572348999e-13,  -2.2906171259309999e-10,  -1.3047527707640999e-10,   5.0000000000000000e+00
   2.4144000000000001e+03,  -1.9131313744925000e-13,  -3.3138613574069999e-13,  -2.1158603224766000e-10,  -1.2017875540047999e-10,   5.0000000000000000e+00
   2.4479333333333329e+03,  -1.8078890908390001e-13,  -3.0542299763159999e-13,  -1.9581769343063000e-10,  -1.1105118488222000e-10,   5.0000000000000000e+00
   2.4814666666666667e+03,  -1.7106238071455001e-13,  -2.8182999237482002e-13,  -1.8156539271897001e-10,  -1.0292107199440000e-10,   5.0000000000000000e+00
   2.5150000000000000e+03,  -1.6204829153879999e-13,  -2.6033436604887999e-13,  -1.6865986412367000e-10,  -9.5646000304303997e-11,   5.0000000000000000e+00
   2.5485333333333328e+03,  -1.5367078040964000e-13,  -2.4070284403674001e-13,  -1.5695163978394001e-10,  -8.9107419710186997e-11,   5.0000000000000000e+00
   2.5820666666666666e+03,  -1.4586283825909000e-13,  -2.2273503496347999e-13,  -1.4630892651477000e-10,  -8.3206366277951994e-11,   5.0000000000000000e+00
   2.6155999999999999e+03,  -1.3856559285596000e-13,  -2.0625799382084001e-13,  -1.3661562839443999e-10,  -7.7859953528922001e-11,   5.0000000000000000e+00
   2.6491333333333332e+03,  -1.3172751872889000e-13,  -1.9112174596690000e-13,  -1.2776953118597999e-10,  -7.2998501103105001e-11,   5.0000000000000000e+00
   2.6826666666666665e+03,  -1.2530363420637000e-13,  -1.7719560369760001e-13,  -1.1968065405660999e-10,  -6.8563188392295006e-11,   5.0000000000000000e+00
   2.7161999999999998e+03,  -1.1925472518535000e-13,  -1.6436513406199999e-13,  -1.1226976684788000e-10,  -6.4504139323588999e-11,   5.0000000000000000e+00
   2.7497333333333331e+03,  -1.1354661935030999e-13,  -1.5252966024752001e-13,  -1.0546706630542000e-10,  -6.0778860309416999e-11,   5.0000000000000000e+00
   2.7832666666666664e+03,  -1.0814952348811999e-13,  -1.4160019922451001e-13,  -9.9211001607894000e-11,  -5.7350966791027000e-11,   5.0000000000000000e+00
   2.8168000000000002e+03,  -1.0303742901318000e-13,  -1.3149775562375999e-13,  -9.3447237775480996e-11,  -5.4189145098538000e-11,   5.0000000000000000e+00
   2.8503333333333330e+03,  -9.8187585863913001e-14,  -1.2215190632676001e-13,  -8.8127744727960001e-11,  -5.1266305818118998e-11,   5.0000000000000000e+00
   2.8838666666666663e+03,  -9.3580041824147994e-14,  -1.1349962231553000e-13,  -8.3209999623122001e-11,  -4.8558892755379001e-11,   5.0000000000000000e+00
   2.9174000000000001e+03,  -8.9197242515238005e-14,  -1.0548428429249000e-13,  -7.8656290426883002e-11,  -4.6046318145154997e-11,   5.0000000000000000e+00
   2.9509333333333329e+03,  -8.5023686392459997e-14,  -9.8054856759425999e-14,  -7.4433109286929994e-11,  -4.3710500186482002e-11,   5.0000000000000000e+00
   2.9844666666666667e+03,  -8.1045628768977001e-14,  -9.1165191923869002e-14,  -7.0510625084239999e-11,  -4.1535483455608997e-11,   5.0000000000000000e+00
   3.0180000000000000e+03,  -7.7250828969397998e-14,  -8.4773440234847994e-14,  -6.6862225434707000e-11,  -3.9507126424643000e-11,   5.0000000000000000e+00
   3.0515333333333328e+03,  -7.3628335032555003e-14,  -7.8841548754945005e-14,  -6.3464119344773002e-11,  -3.7612843320792997e-11,   5.0000000000000000e+00
   3.0850666666666666e+03,  -7.0168300834718004e-14,  -7.3334832137908994e-14,  -6.0294992647450995e-11,  -3.5841390014783001e-11,   5.0000000000000000e+00
   3.1185999999999999e+03,  -6.6861831018086003e-14,  -6.8221603855770996e-14,  -5.7335709229813997e-11,  -3.4182685622586003e-11,   5.0000000000000000e+00
   3.1521333333333332e+03,  -6.3700849638212000e-14,  -6.3472857635921996e-14,  -5.4569051891893001e-11,  -3.2627663122842999e-11,   5.0000000000000000e+00
   3.1856666666666665e+03,  -6.0677988957290000e-14,  -5.9061990933826994e-14,  -5.1979497439796000e-11,  -3.1168143601100999e-11,   5.0000000000000000e+00
   3.2191999999999998e+03,  -5.7786495290497996e-14,  -5.4964563768028003e-14,  -4.9553021308082002e-11,  -2.9796729787669001e-11,   5.0000000000000000e+00
   3.2527333333333331e+03,  -5.5020149249890000e-14,  -5.1158087452424998e-14,  -4.7276927627524998e-11,  -2.8506715405413000e-11,   5.0000000000000000e+00
   3.2862666666666664e+03,  -5.2373198120859000e-14,  -4.7621838734066002e-14,  -4.5139701206276001e-11,  -2.7292007525988999e-11,   5.0000000000000000e+00
   3.3198000000000002e+03,  -4.9840298449798002e-14,  -4.4336695629494000e-14,  -4.3130878379064001e-11,  -2.6147059679685000e-11,   5.0000000000000000e+00
   3.3533333333333330e+03,  -4.7416467220007999e-14,  -4.1284991886922998e-14,  -4.1240934105207003e-11,  -2.5066813901492001e-11,   5.0000000000000000e+00
   3.3868666666666663e+03,  -4.5097040249947001e-14,  -3.8450387514813999e-14,  -3.9461183067216997e-11,  -2.4046650245507999e-11,   5.0000000000000000e+00
   3.4204000000000001e+03,  -4.2877636667247999e-14,  -3.5817753234449997e-14,  -3.7783692843253000e-11,  -2.3082342578846999e-11,   5.0000000000000000e+00
   3.4539333333333329e+03,  -4.0754128497984001e-14,  -3.3373067053765999e-14,  -3.6201207504029000e-11,  -2.2170019688778999e-11,   5.0000000000000000e+00
   3.4874666666666667e+03,  -3.8722614567650999e-14,  -3.1103321437520001e-14,  -3.4707080223149997e-11,  -2.1306130914487998e-11,   5.0000000000000000e+00
   3.5210000000000000e+03,  -3.6779398042162000e-14,  -2.8996439777143998e-14,  -3.3295213694202999e-11,  -2.0487415656596001e-11,   5.0000000000000000e+00
   3.5545333333333328e+03,  -3.4920967047418997e-14,  -2.7041201051960998e-14,  -3.1960007322534997e-11,  -1.9710876230905000e-11,   5.0000000000000000e+00
   3.5880666666666666e+03,  -3.3143977898040998e-14,  -2.5227171729695001e-14,  -3.0696310308643999e-11,  -1.8973753623569001e-11,   5.0000000000000000e+00
   3.6215999999999999e+03,  -3.1445240542435999e-14,  -2.3544644084560001e-14,  -2.9499379866974997e-11,  -1.8273505777736001e-11,   5.0000000000000000e+00
   3.6551333333333332e+03,  -2.9821705895011002e-14,  -2.1984580220444000e-14,  -2.8364843931798000e-11,  -1.7607788100416001e-11,   5.0000000000000000e+00
   3.6886666666666665e+03,  -2.8270454779220999e-14,  -2.0538561178857001e-14,  -2.7288667793596000e-11,  -1.6974435925825999e-11,   5.0000000000000000e+00
